Channel,WAV,Begin Time (s),call_type,Repetition,localization
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,1952.18157613,52,3,1186.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,1948.397490603,52,3,1186.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,1938.783867913,52,3,1186.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,1929.170245223,52,3,1188.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,1938.579322749,52,3,1188.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,1942.56795344,52,3,1188.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,5142.744616114,52,3,2977.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,5149.193651527,52,3,2977.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,5136.152268803,52,3,2977.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,5298.438892599,52,3,3118.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,5307.897477872,52,3,3118.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,5311.76689912,52,3,3118.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,7455.114064676,52,3,4264.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,7443.935736626,52,3,4264.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,7438.633196397,52,3,4264.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,7458.696862128,52,3,4265.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,7447.231910282,52,3,4265.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,7441.786058155,52,3,4265.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,7477.614032674,52,3,4269.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,7489.652232112,52,3,4269.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,7472.598116241,52,3,4269.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,8573.521679655,52,3,4916.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,8562.486663503,52,3,4916.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,8557.040811376,52,3,4916.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,8561.053544522,52,3,4917.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,8566.069460955,52,3,4917.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,8577.534412801,52,3,4917.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,8628.754315588,52,3,4994.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,8634.343479613,52,3,4994.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,8645.951743357,52,3,4994.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,8695.537660092,52,3,4997.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,8700.410264626,52,3,4997.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,8712.161840269,52,3,4997.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,9192.085382484,52,3,5243.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,9201.25734396,52,3,5243.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,9206.129948495,52,3,5243.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,9175.031266613,52,3,5248.0
